Name,Lineitem name,Lineitem quantity,Lineitem price,Lineitem sku
#1001,Women Casual Shoes Fashion Breathable Walking Mesh Flat Shoes Sneakers Women 2021 Gym Vulcanized Shoes White Female Footwear - A08Black / 41,1,24.48,188304018;20260829;1787998552nd5S5
#1002,4 Piece Men Gold Black Skeleton Quartz Watch Ring Necklace Bracelet Set - Gold Without Box,1,12.27,188299951;20260829;1787963126pCTV9
#1002,Ladies Gold Rhinestone Swan Jewelry Set Watch Necklace Ring Earrings - Gold,2,10.21,188300019;20260829;1787963965pFCIr
#1002,Geneva Rhinestone Jelly Watch Black Dial LED Flash Luminous Wristwatch - Pink,2,8.2,188299690;20260829;1787962470L3pji
#1002,Geneva Rhinestone Jelly Watch Black Dial LED Flash Luminous Wristwatch - SKY BLUE,2,7.14,188299694;20260829;1787962470iSN7W
#1002,Geneva Rhinestone Jelly Watch Black Dial LED Flash Luminous Wristwatch - Blue,1,7.14,188299692;20260829;1787962470hcotD
#1003,Xiaomi Redmi Note 11 Pro – Grey (128GB) | Good Condition,1,112.49,
#1004,"Xiaomi Redmi 10A – Sky Blue (Unlocked, 32GB) | Grade B",1,102.94,
#1005,Saigela Two Piece Set Men Quartz Watch Gold Steel Band Arabic Dial - 2PCS Set Without Box,1,17.38,188299989;20260829;1787963345qisi0
#1006,Ocean Silicone Band For Apple Watch Ultra 2 49mm Silicone Wristband - 1 black / S10-46 42 44 45 49mm,1,7.4,188041186;20260818;1787076905nnKZ7
#1007,Xiaomi 11 Lite – Unlocked (128GB) | Very Good Grade,1,82.07,XIA-11LITE-128-VG
