Handle,Title,Vendor,Type,Tags,Variant Price,Variant Compare At Price,Cost per item,Shipping Destination,Status,Discount %,Margin %,Auto_Category,Text_Cluster
36-stage-upgraded-shower-filter-with-vitamin-c-veoryfly,VeoryFly Upgraded 36 Stage Shower Filter Vitamin C Activated Carbon,VeoryFly,Shower Filter,"36 stage, activated carbon, chlorine filter, featured, heavy metals, kdf filter, rust filter, sediment filter, shower filter, vitamin c, water filter, worldwide",15.29,21.99,,Unspecified,active,30.5,,Other,10
2026-new-hot-x8-pro-original-global-version-hq-intelligent-wifi-gps-6800mah-battery-dual-card-dual-standby-126597792093-ikv2u,X8 Pro Global Version 16GB 1TB 6800mAh Battery Dual SIM Android 14 Unlock,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Unknown,"16gb ram, 1tb storage, 5g, android 14, dual sim, large battery, Nigeria, smartphone, unlocked, World-Wide, x8 pro",122.99,183.99,61.26,Worldwide,active,33.2,50.2,Other,10
purple16gb-1tb-2026-hot-f8-ultra-original-global-version-hq-intelligent-snapdragon-8-gen3-7800mah-battery-dual-card-dual-standby-126597792093-ul37f,Purple Hot F8 Ultra Smartphone 16GB 1TB Snapdragon 8 Gen3 7800mAh Battery,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Unknown,"16GB RAM, 1TB storage, 7800mAh battery, Dual SIM, Hot F8 Ultra, Nigeria, Purple smartphone, Smartphone, Snapdragon 8 Gen3, World-Wide",128.99,192.99,47.55,Worldwide,active,33.2,63.1,Smartphones,10
womens-shoes-womens-sports-shoes-fleece-and-thickened-boots-lightweight-soft-soled-womens-snow-boots-126597792093-vnnwe,Women's Sports Lightweight Fleece Lined Slip On Winter Boots,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"casual winter wear, cold weather shoes, fleece lined shoes, lightweight footwear, Nigeria, quilted boots, slip on snow boots, women sports shoes, women winter boots",39.99,58.99,18.18,Nigeria,active,32.2,54.5,Footwear,0
womens-shoes-womens-sports-shoes-fleece-and-thickened-boots-lightweight-soft-soled-womens-snow-boots-126597792093-yitxh,Womens Lightweight Fleece Lined Soft Sole Snow Boots,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"ankle boots, casual shoes, fleece lined, Nigeria, slip on, snow boots, soft sole, warm footwear, winter boots, women boots",39.99,58.99,18.18,Nigeria,active,32.2,54.5,Footwear,0
waterproof-eva-furry-mules-slippers-women-2025-winter-metal-buckle-warm-plush-slippers-soft-thick-bottom-non-slip-indoor-slides-126597792093-jdje7,Women Winter Furry Mules Slippers Plush Metal Buckle Non Slip Waterproof Eva,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"faux fur, furry mules, indoor slides, metal buckle, Nigeria, non slip, plush clogs, winter slippers, women footwear",17.99,26.99,7.5,Nigeria,active,33.3,58.3,Footwear,6
new-casual-orthopedics-wide-feet-swollen-shoes-thumb-eversion-adjusting-soft-comfortable-diabetic-shoe-walking-shoes-126597792093-mkl0g,Black Orthopedic Wide Fit Diabetic Shoes For Swollen Feet Laceless Walk,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"breathable knit, diabetic shoes, edema, laceless, neuropathy, Nigeria, orthopedic shoes, slip on, swollen feet, walk shoes, wide fit",34.99,51.99,15.55,Nigeria,active,32.7,55.6,Footwear,1
women-sneakers-shoes-fashion-womenvulcanizedshoes-highquality-flatsshoes-womenwalking-blatform-plus-size-zapatillas-mujer-126597792093-7faor,Women Lightweight Flatform Sneakers Mesh Upper Casual Walking Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"athletic shoes, casual walking, comfort insole, EVA sole, flatform shoes, lightweight trainers, mesh upper, Nigeria, women sneakers",29.99,44.99,13.29,Nigeria,active,33.3,55.7,Footwear,1
women-slippers-2024-women-summer-new-round-head-slippers-water-diamond-flat-home-anti-skid-sandals-slides-women-zapatos-de-mujer-126597792093-lpa4u,Women Water Diamond Rhinestone Mesh Flat Slides Summer Home Anti Skid Sandals,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"anti skid, beach shoes, beige slippers, crystal mesh, home slippers, mesh sandals, Nigeria, rhinestone slides, summer flat, water diamond, women slides",23.99,35.99,6.34,Nigeria,active,33.3,73.6,Footwear,6
winter-womens-slippers-boots-fashion-fuzzy-fur-anti-slip-soft-sole-outdoor-indoor-warm-comfort-men-plush-houseshoes-couple-126597792093-jqht2,Winter Plush Slippers For Women Men Antislip Thick Sole Indoor House Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"antislip, cozy slippers, faux fur, house shoes, indoor shoes, Nigeria, plush slippers, suede, thick sole, warm footwear, winter slippers",15.99,22.99,6.2,Nigeria,active,30.4,61.2,Footwear,6
