Auto_Category,0,1,2,3,4,5,6,7,8,9,10
Apparel,0,0,1,0,0,13,0,11,1,0,9
Audio,0,0,0,0,0,0,0,0,0,0,8
Bags & Accessories,0,0,0,1,0,0,0,1,0,0,3
Beauty & Personal Care,0,0,0,0,0,0,0,0,0,0,1
Children's Clothing,0,0,0,0,0,0,0,0,5,0,5
Fitness Equipment,0,0,15,0,0,0,0,0,0,0,0
Footwear,7,68,1,0,0,0,16,0,0,0,1
Home & Lighting,0,0,0,3,0,0,0,0,0,0,5
Office Supplies,0,0,0,0,0,0,0,0,0,0,3
Other,0,0,0,1,0,0,0,0,0,0,7
Pet Supplies,0,0,0,3,0,0,0,0,0,0,3
Smartphones,0,0,0,0,0,0,0,0,0,0,6
Toys,0,0,0,21,0,0,0,0,0,0,0
Watches,0,0,0,4,23,0,0,0,0,27,2
