cluster,size,top_terms
0,7,"boots, winter, fleece, snow, slip, lined, shoes, warm"
1,68,"shoes, sneakers, casual, footwear, breathable, women, mesh, walking"
2,17,"fitness, equipment, collection, gym, uk, shipping, workout, waist"
3,33,"toy, toys, water, band, gun, lights, silicone, blaster"
4,23,"watch, tracker, bluetooth, smart, rate, heart, monitor, fitness"
5,13,"denim, jeans, pants, straight, trousers, stretch, business, blue"
6,16,"slippers, sandals, indoor, winter, footwear, plush, shoes, non"
7,12,"belt, chain, punk, jeans, unisex, y2k, accessory, charm"
8,6,"dress, costume, clothing, cosplay, girls, outfit, kids, children"
9,27,"watch, quartz, dial, gold, men, bracelet, wristwatch, watches"
10,53,"wireless, headphones, sleeve, nigeria, bluetooth, light, shirt, audio"
