check_name,passed,detail
outputs/category_by_country.csv exists and is non-empty,True,
outputs/category_vs_cluster.csv exists and is non-empty,True,
outputs/cluster_top_terms.csv exists and is non-empty,True,
outputs/catalog_vs_sales_mix.csv exists and is non-empty,True,
outputs/external_category_benchmark.csv exists and is non-empty,True,
outputs/forecast_vs_actual_summary.csv exists and is non-empty,True,
outputs/funnel_summary.csv exists and is non-empty,True,
outputs/margin_anomaly_check.csv exists and is non-empty,True,
outputs/omnichannel_visibility_summary.csv exists and is non-empty,True,
outputs/pricing_integrity_check.csv exists and is non-empty,True,
outputs/pricing_integrity_summary.csv exists and is non-empty,True,
products_clean.csv has no duplicate Handle values,True,
Every product has an Auto_Category,True,
Every product has a Text_Cluster assignment,True,
orders_clean total matches customers_clean Total Spent sum,True,
funnel_summary order count matches orders_clean row count,True,
forecast overlap window is non-empty (overlap_days > 0),True,
pricing integrity score is internally consistent with its own counts,True,
no product is double-counted across pricing statuses,True,
