"Session country","Session region","Session city","Online store visitors","Sessions"
"United States","Oregon","Prineville",128,128
"United Kingdom","England","Oldbury",6,78
"Sweden","Norrbotten County","Luleå",65,65
"United States","North Carolina","Forest City",56,56
"Ireland","Leinster","Clonee",55,55
"United States","Texas","Fort Worth",44,44
"United States","Iowa","Altoona",33,33
"Nigeria","Lagos","Lagos",9,26
"United States","Iowa","Council Bluffs",22,22
"United States","Tennessee","Gallatin",20,20
"United States","Oregon","Boardman",19,19
"United States","Nebraska","Springfield",17,17
"United States","South Carolina","North Charleston",14,14
"Egypt","Cairo Governorate","Cairo",1,12
"United States","California","Los Angeles",11,11
"Nigeria","Rivers State","Port Harcourt",6,10
"Nigeria","Oyo State","Ibadan",5,9
"United States","Washington",,8,8
"United States","Virginia","Ashburn",6,6
"United States","Colorado",,5,5
"United Kingdom",,,2,4
"United States","California","San Jose",4,4
"United States","Ohio","Columbus",3,3
"Vietnam","Hanoi","Hanoi",2,2
"United States","New York","New York",2,2
"United States","Oregon","The Dalles",2,2
"United States","Georgia","Eatonton",2,2
"United Kingdom","England","Manchester",2,2
"United Kingdom","England","Hornchurch",1,2
"Vietnam","Ho Chi Minh","Ho Chi Minh City",2,2
"China","Guangdong","Guangzhou",2,2
"Philippines",,,2,2
"United States","Florida","Miami",1,1
"Singapore",,"Singapore",1,1
"United Kingdom","Scotland","Troon",1,1
"United Kingdom","England","Ipswich",1,1
"Malaysia","Selangor","Kajang",1,1
"United States","District of Columbia","Washington",1,1
"Canada","Quebec","Montreal",1,1
"United States","New York","Port Jefferson Station",1,1
"India","Telangana","Hyderabad",1,1
"United States","Illinois","DeKalb",1,1
"South Korea","Gyeonggi-do","Gwangmyeong",1,1
"China",,,1,1
"United States","California","Santa Clara",1,1
"United States","Georgia","Atlanta",1,1
"United States","Illinois","Chicago",1,1
"United States","New York","Buffalo",1,1
"United Kingdom","England","Crewe",1,1
"Malta","L-Imsida","Msida",1,1
"United Kingdom","England","Wigan",1,1
"India","Tamil Nadu","Chennai",1,1
"Australia","Queensland","Brisbane",1,1
"United Kingdom","England","Walsall",1,1
"United States","Florida","Winter Haven",1,1
"Nigeria","FCT","Abuja",1,1
"Australia","Victoria","Melbourne",1,1
"United States","Oregon","Glide",1,1
"United States","Alabama","Chunchula",1,1
"Singapore",,,1,1
