"Referrer source","Referrer name","Session city","Online store visitors","Sessions"
"direct",,"Oldbury",6,77
"direct",,"Prineville",75,75
"social","facebook","Prineville",53,53
"direct",,"Luleå",41,41
"direct",,"Clonee",38,38
"direct",,"Forest City",30,30
"direct",,"Lagos",9,26
"social","facebook","Forest City",26,26
"social","facebook","Fort Worth",25,25
"social","facebook","Luleå",24,24
"direct",,"Council Bluffs",22,22
"social","facebook","Altoona",21,21
"direct",,"Fort Worth",19,19
"direct",,,16,18
"search","google","Boardman",17,17
"social","facebook","Clonee",17,17
"direct",,"North Charleston",14,14
"direct",,"Gallatin",13,13
"direct",,"Altoona",12,12
"direct",,"Los Angeles",11,11
"direct",,"Cairo",1,10
"direct",,"Port Harcourt",6,10
"direct",,"Springfield",9,9
"direct",,"Ibadan",5,9
"social","facebook","Springfield",8,8
"social","facebook","Gallatin",7,7
"direct",,"Ashburn",6,6
"direct",,"San Jose",4,4
"search","bing",,3,3
"direct",,"Columbus",3,3
"direct",,"The Dalles",2,2
"direct",,"Eatonton",2,2
"direct",,"Boardman",2,2
"direct",,"Manchester",2,2
"direct",,"New York",2,2
"email","gmail","Cairo",1,2
"direct",,"Guangzhou",2,2
"direct",,"Hanoi",2,2
"direct",,"Hornchurch",1,2
"direct",,"Ho Chi Minh City",2,2
"direct",,"Buffalo",1,1
"direct",,"Chicago",1,1
"search","google","Brisbane",1,1
"search","google","Hyderabad",1,1
"direct",,"Msida",1,1
"direct",,"Crewe",1,1
"direct",,"Chennai",1,1
"direct",,"Port Jefferson Station",1,1
"direct",,"Glide",1,1
"direct",,"Washington",1,1
"direct",,"Gwangmyeong",1,1
"direct",,"Miami",1,1
"direct",,"Winter Haven",1,1
"direct",,"Wigan",1,1
"direct",,"Abuja",1,1
"direct",,"DeKalb",1,1
"direct",,"Montreal",1,1
"direct",,"Santa Clara",1,1
"search","google","Oldbury",1,1
"direct",,"Ipswich",1,1
"search","google","Melbourne",1,1
"direct",,"Singapore",1,1
"direct",,"Walsall",1,1
"direct",,"Troon",1,1
"direct",,"Chunchula",1,1
"direct",,"Kajang",1,1
"direct",,"Atlanta",1,1
