"Day","Orders","Gross sales","Discounts","Sales reversals","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","Day (previous_period)","Orders (previous_period)","Gross sales (previous_period)","Discounts (previous_period)","Sales reversals (previous_period)","Net sales (previous_period)","Shipping charges (previous_period)","Duties (previous_period)","Additional fees (previous_period)","Taxes (previous_period)","Total sales (previous_period)","Orders (previous_period) ","Gross sales (previous_period) ","Discounts (previous_period) ","Sales reversals (previous_period) ","Net sales (previous_period) ","Shipping charges (previous_period) ","Duties (previous_period) ","Additional fees (previous_period) ","Taxes (previous_period) ","Total sales (previous_period) "
"2026-08-01",0,0,0,0,0,0,0,0,0,0,"2026-06-17",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-02",0,0,0,0,0,0,0,0,0,0,"2026-06-18",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-03",0,0,0,0,0,0,0,0,0,0,"2026-06-19",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-04",0,0,0,0,0,0,0,0,0,0,"2026-06-20",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-05",0,0,0,0,0,0,0,0,0,0,"2026-06-21",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-06",0,0,0,0,0,0,0,0,0,0,"2026-06-22",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-07",0,0,0,0,0,0,0,0,0,0,"2026-06-23",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-08",0,0,0,0,0,0,0,0,0,0,"2026-06-24",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-09",0,0,0,0,0,0,0,0,0,0,"2026-06-25",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-10",0,0,0,0,0,0,0,0,0,0,"2026-06-26",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-11",0,0,0,0,0,0,0,0,0,0,"2026-06-27",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-12",0,0,0,0,0,0,0,0,0,0,"2026-06-28",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-13",0,0,0,0,0,0,0,0,0,0,"2026-06-29",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-14",0,0,0,0,0,0,0,0,0,0,"2026-06-30",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-15",0,0,0,0,0,0,0,0,0,0,"2026-07-01",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-16",0,0,0,0,0,0,0,0,0,0,"2026-07-02",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-17",0,0,0,0,0,0,0,0,0,0,"2026-07-03",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-18",0,0,0,0,0,0,0,0,0,0,"2026-07-04",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-19",0,0,0,0,0,0,0,0,0,0,"2026-07-05",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-20",0,0,0,0,0,0,0,0,0,0,"2026-07-06",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-21",0,0,0,0,0,0,0,0,0,0,"2026-07-07",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-22",0,0,0,0,0,0,0,0,0,0,"2026-07-08",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-23",0,0,0,0,0,0,0,0,0,0,"2026-07-09",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-24",0,0,0,0,0,0,0,0,0,0,"2026-07-10",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-25",0,0,0,0,0,0,0,0,0,0,"2026-07-11",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-26",0,0,0,0,0,0,0,0,0,0,"2026-07-12",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-27",0,0,0,0,0,0,0,0,0,0,"2026-07-13",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-28",0,0,0,0,0,0,0,0,0,0,"2026-07-14",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-29",1,24.48,0,0,24.48,0,0,0,0,24.48,"2026-07-15",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-30",0,0,0,0,0,0,0,0,0,0,"2026-07-16",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-08-31",0,0,0,0,0,0,0,0,0,0,"2026-07-17",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-01",0,0,0,0,0,0,0,0,0,0,"2026-07-18",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-02",1,70.51,0,0,70.51,0,0,0,0,70.51,"2026-07-19",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-03",0,0,0,0,0,0,0,0,0,0,"2026-07-20",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-04",0,0,0,0,0,0,0,0,0,0,"2026-07-21",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-05",0,0,0,0,0,0,0,0,0,0,"2026-07-22",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-06",0,0,0,0,0,0,0,0,0,0,"2026-07-23",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-07",0,0,0,0,0,0,0,0,0,0,"2026-07-24",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-08",0,0,0,0,0,0,0,0,0,0,"2026-07-25",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-09",0,0,0,0,0,0,0,0,0,0,"2026-07-26",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-10",1,112.49,0,0,112.49,0,0,0,0,112.49,"2026-07-27",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-11",2,120.32,0,0,120.32,0,0,0,0,120.32,"2026-07-28",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-12",0,0,0,0,0,0,0,0,0,0,"2026-07-29",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-13",0,0,0,0,0,0,0,0,0,0,"2026-07-30",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2026-09-14",2,89.47,0,0,89.47,0,0,0,0,89.47,"2026-07-31",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
