"Day","Online store visitors","Sessions","Day (previous_period)","Online store visitors (previous_period)","Sessions (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) "
"2026-08-01",4,4,"2026-06-17",1,1,300,300
"2026-08-02",0,0,"2026-06-18",3,3,-100,-100
"2026-08-03",0,0,"2026-06-19",1,1,-100,-100
"2026-08-04",1,1,"2026-06-20",0,0,,
"2026-08-05",3,3,"2026-06-21",1,1,200,200
"2026-08-06",2,2,"2026-06-22",1,1,100,100
"2026-08-07",0,0,"2026-06-23",0,0,,
"2026-08-08",2,2,"2026-06-24",2,2,0,0
"2026-08-09",3,3,"2026-06-25",1,1,200,200
"2026-08-10",0,0,"2026-06-26",0,0,,
"2026-08-11",3,3,"2026-06-27",0,0,,
"2026-08-12",8,8,"2026-06-28",1,1,700,700
"2026-08-13",11,11,"2026-06-29",1,1,1000,1000
"2026-08-14",3,3,"2026-06-30",1,1,200,200
"2026-08-15",1,1,"2026-07-01",0,0,,
"2026-08-16",3,3,"2026-07-02",1,1,200,200
"2026-08-17",16,17,"2026-07-03",0,0,,
"2026-08-18",6,10,"2026-07-04",1,1,500,900
"2026-08-19",4,10,"2026-07-05",2,2,100,400
"2026-08-20",3,6,"2026-07-06",2,2,50,200
"2026-08-21",5,7,"2026-07-07",1,1,400,600
"2026-08-22",10,10,"2026-07-08",3,3,233.33333333333334,233.33333333333334
"2026-08-23",0,0,"2026-07-09",0,0,,
"2026-08-24",4,4,"2026-07-10",0,0,,
"2026-08-25",2,2,"2026-07-11",0,0,,
"2026-08-26",6,14,"2026-07-12",0,0,,
"2026-08-27",3,3,"2026-07-13",0,0,,
"2026-08-28",3,5,"2026-07-14",2,2,50,150
"2026-08-29",6,11,"2026-07-15",3,6,100,83.33333333333333
"2026-08-30",4,6,"2026-07-16",1,1,300,500
"2026-08-31",10,15,"2026-07-17",0,0,,
"2026-09-01",13,14,"2026-07-18",0,0,,
"2026-09-02",10,12,"2026-07-19",0,0,,
"2026-09-03",8,11,"2026-07-20",0,0,,
"2026-09-04",3,3,"2026-07-21",0,0,,
"2026-09-05",0,0,"2026-07-22",1,2,-100,-100
"2026-09-06",0,0,"2026-07-23",0,0,,
"2026-09-07",2,2,"2026-07-24",1,1,100,100
"2026-09-08",7,11,"2026-07-25",0,0,,
"2026-09-09",141,145,"2026-07-26",0,0,,
"2026-09-10",191,204,"2026-07-27",1,4,19000,5000
"2026-09-11",66,68,"2026-07-28",0,0,,
"2026-09-12",8,8,"2026-07-29",3,3,166.66666666666666,166.66666666666666
"2026-09-13",29,29,"2026-07-30",1,5,2800,480
"2026-09-14",24,24,"2026-07-31",2,6,1100,300
